,Unnamed: 0,playerID,nameFirst,nameLast,bats,throws,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,Years_Played,HoF,votedBy,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,playerIDmstr,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,1B,SLG,OBS,OPS
14068,342.0,anderga01,Garret,Anderson,L,L,1994-07-27,2010.0,2228.0,8640.0,1084.0,2529.0,522.0,36.0,287.0,1365.0,80.0,429.0,1224.0,104.0,8.0,13.0,87.0,17.0,,,,3.0,,,,2.0,anderga01,2228,0,0,0,0,0,0,1387,404,162,1913,237.0,0,0,0,0,0,0,2148,80,1684.0,0.46111111111111114,0.3236577913574858,0.7847689024685969
14070,1186.0,benitar01,Armando,Benitez,R,R,1994-07-28,2008.0,762.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,,,,2.0,,,,,benitar01,762,762,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,762,0,0.0,0.0,0.0,0.0
14072,1698.0,bottari01,Ricky,Bottalico,L,R,1994-07-29,2005.0,562.0,17.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,12.0,,,,1.0,,,,,bottari01,562,562,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,562,0,0.0,0.23529411764705882,0.11764705882352941,0.3529411764705882
14074,1834.0,braggda01,Darren,Bragg,L,R,1994-04-12,2004.0,916.0,2461.0,341.0,627.0,145.0,14.0,46.0,260.0,56.0,304.0,570.0,17.0,25.0,24.0,21.0,11.0,,,,,,,,,braggda01,916,0,0,0,0,1,0,203,281,352,762,12.0,0,0,0,0,0,0,916,0,422.0,0.38114587566030067,0.3400924937744575,0.7212383694347582
14078,2717.0,carrahe01,Hector,Carrasco,R,R,1994-04-04,2007.0,647.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,12.0,,,,,,,,,carrahe01,647,647,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,647,0,1.0,0.038461538461538464,0.038461538461538464,0.07692307692307693
14082,3105.0,cirilje01,Jeff,Cirillo,R,R,1994-05-11,2007.0,1617.0,5396.0,800.0,1598.0,343.0,21.0,112.0,727.0,63.0,563.0,694.0,18.0,67.0,51.0,59.0,14.0,,,,2.0,,,,,cirilje01,1617,1,0,57,48,1403,5,1,0,0,1,30.0,0,0,0,0,0,0,1617,0,1122.0,0.4297627872498147,0.36614626129827443,0.7959090485480891
14094,5041.0,eischjo01,Joey,Eischen,L,L,1994-06-19,2006.0,327.0,28.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,3.0,0.0,10.0,,,,,,,,,eischjo01,327,324,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,327,0,4.0,0.21428571428571427,0.20689655172413793,0.4211822660098522
14103,6558.0,gonzaal01,Alex,Gonzalez,R,R,1994-04-04,2006.0,1396.0,4977.0,623.0,1209.0,274.0,27.0,137.0,536.0,97.0,392.0,1165.0,12.0,45.0,82.0,32.0,13.0,,,,,,,,,gonzaal01,1396,0,0,3,0,109,1262,1,0,0,1,4.0,0,0,0,0,0,0,1396,0,771.0,0.39140044203335345,0.302240176276166,0.6936406183095194
14107,7186.0,hamiljo02,Joey,Hamilton,R,R,1994-05-24,2003.0,243.0,339.0,19.0,43.0,8.0,1.0,4.0,22.0,0.0,8.0,167.0,0.0,0.0,36.0,5.0,10.0,,,,,,,,,hamiljo02,243,242,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,243,0,30.0,0.19174041297935104,0.14488636363636365,0.3366267766157147
14109,7619.0,helliri01,Rick,Helling,R,R,1994-04-10,2006.0,301.0,104.0,4.0,6.0,1.0,0.0,0.0,1.0,0.0,8.0,43.0,0.0,1.0,9.0,0.0,12.0,,,,,,,,,helliri01,301,301,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,301,0,5.0,0.0673076923076923,0.13274336283185842,0.20005105513955074
14112,8286.0,hubbatr01,Trent,Hubbard,R,R,1994-07-07,2003.0,476.0,762.0,124.0,196.0,33.0,7.0,16.0,72.0,33.0,83.0,166.0,1.0,6.0,8.0,5.0,10.0,,,,,,,,,hubbatr01,476,0,1,0,5,7,0,148,122,59,319,7.0,0,0,0,0,0,0,476,0,140.0,0.38188976377952755,0.33294392523364486,0.7148336890131723
14114,8393.0,huntebr02,Brian,Hunter,R,R,1994-06-27,2003.0,1000.0,3347.0,500.0,882.0,146.0,28.0,25.0,241.0,260.0,243.0,581.0,1.0,13.0,27.0,29.0,10.0,,,,,,,,,huntebr02,1000,0,0,0,0,0,0,182,715,33,896,1.0,0,0,0,0,0,0,1000,0,683.0,0.34628025097101883,0.31332599118942733,0.6596062421604462
14121,8622.0,jarvike01,Kevin,Jarvis,L,R,1994-04-06,2006.0,191.0,188.0,19.0,30.0,6.0,0.0,1.0,14.0,0.0,13.0,62.0,0.0,3.0,23.0,2.0,12.0,,,,,,,,,jarvike01,191,187,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,191,0,23.0,0.2074468085106383,0.22330097087378642,0.4307477793844247
14123,8734.0,johnsch04,Charles,Johnson,R,R,1994-05-06,2005.0,1188.0,3836.0,465.0,940.0,211.0,4.0,167.0,570.0,6.0,475.0,997.0,29.0,25.0,18.0,31.0,12.0,,,,2.0,4.0,,,,johnsch04,1188,0,1160,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1188,0,558.0,0.43274244004171014,0.3297458209297,0.7624882609714101
14127,10217.0,liebejo01,Jon,Lieber,L,R,1994-05-15,2008.0,405.0,612.0,36.0,85.0,17.0,0.0,0.0,25.0,0.0,30.0,234.0,0.0,0.0,55.0,2.0,14.0,,,,1.0,,,,,liebejo01,405,401,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,405,0,68.0,0.16666666666666666,0.17857142857142858,0.34523809523809523
14128,10218.0,liebemi01,Mike,Lieberthal,R,R,1994-06-30,2007.0,1212.0,4218.0,534.0,1155.0,257.0,10.0,150.0,610.0,8.0,335.0,571.0,34.0,89.0,10.0,43.0,14.0,,,,2.0,1.0,,,,liebemi01,1212,0,1170,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,1212,0,738.0,0.44618302513039354,0.33703308431163287,0.7832161094420265
14129,10232.0,limajo01,Jose,Lima,R,R,1994-04-20,2006.0,351.0,292.0,18.0,38.0,4.0,0.0,0.0,10.0,0.0,7.0,101.0,0.0,0.0,44.0,1.0,13.0,,,,1.0,,,,,limajo01,351,348,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,351,0,34.0,0.14383561643835616,0.15,0.29383561643835615
14130,10355.0,lockhke01,Keith,Lockhart,L,R,1994-04-05,2003.0,979.0,2268.0,290.0,591.0,117.0,17.0,44.0,268.0,30.0,195.0,268.0,23.0,14.0,22.0,30.0,10.0,,,,,,,,,lockhke01,979,0,0,0,529,133,1,0,0,1,1,25.0,0,0,0,0,0,0,979,0,413.0,0.3853615520282187,0.3191065017949741,0.7044680538231928
14132,10637.0,mabryjo01,John,Mabry,L,R,1994-04-23,2007.0,1322.0,3409.0,382.0,898.0,183.0,6.0,96.0,446.0,7.0,284.0,717.0,43.0,22.0,21.0,29.0,14.0,,,,,,,,,mabryjo01,1322,2,0,451,0,129,0,190,11,386,567,21.0,0,0,0,0,0,0,1322,0,613.0,0.4051041361102963,0.3215811965811966,0.7266853326914928
14135,11129.0,mathemi01,Mike,Matheny,R,R,1994-04-07,2006.0,1305.0,3877.0,353.0,925.0,190.0,9.0,67.0,443.0,8.0,266.0,795.0,54.0,45.0,65.0,34.0,13.0,,,,,4.0,,,,mathemi01,1305,0,1285,18,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1305,0,659.0,0.34408047459375807,0.29275225011842726,0.6368327247121853
14141,12305.0,mordemi01,Mike,Mordecai,R,R,1994-05-08,2005.0,793.0,1362.0,157.0,333.0,75.0,7.0,24.0,132.0,13.0,112.0,261.0,9.0,5.0,25.0,8.0,12.0,,,,,,,,,mordemi01,793,0,2,24,166,244,147,1,1,2,4,2.0,0,0,0,0,0,0,793,0,227.0,0.36270190895741555,0.3026227303295225,0.6653246392869381
14146,13458.0,parkch01,Chan Ho,Park,R,R,1994-04-08,2010.0,479.0,430.0,27.0,77.0,15.0,1.0,3.0,31.0,0.0,20.0,155.0,0.0,0.0,54.0,2.0,17.0,,,,1.0,,,,,parkch01,479,476,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,426,53,58.0,0.23953488372093024,0.21460176991150443,0.45413665363243466
14155,15041.0,rodrial01,Alex,Rodriguez,R,R,1994-07-08,2016.0,2784.0,10566.0,2021.0,3115.0,548.0,31.0,696.0,2086.0,329.0,1338.0,2287.0,97.0,176.0,16.0,111.0,22.0,,,3.0,14.0,2.0,,,10.0,rodrial01,2784,0,0,2,0,1194,1272,0,0,0,0,298.0,0,0,0,0,0,0,2166,618,1840.0,0.5501608934317622,0.37970634074317117,0.9298672341749334
14159,16227.0,shueypa01,Paul,Shuey,R,R,1994-05-08,2007.0,476.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,shueypa01,476,476,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,476,0,1.0,0.14285714285714285,0.14285714285714285,0.2857142857142857
14167,17011.0,stinnke01,Kelly,Stinnett,R,R,1994-04-05,2007.0,734.0,2033.0,228.0,476.0,91.0,4.0,65.0,230.0,10.0,196.0,567.0,26.0,42.0,12.0,7.0,14.0,,,,,,,,,stinnke01,734,0,679,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,734,0,316.0,0.37875061485489425,0.31343283582089554,0.6921834506757898
14172,18064.0,valdeis01,Ismael,Valdez,R,R,1994-06-15,2005.0,326.0,399.0,20.0,52.0,9.0,0.0,1.0,17.0,4.0,13.0,122.0,0.0,0.0,61.0,1.0,12.0,,,,,,,,,valdeis01,326,325,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,326,0,42.0,0.16040100250626566,0.15738498789346247,0.3177859903997281
14175,18227.0,veresda01,Dave,Veres,R,R,1994-05-10,2003.0,605.0,27.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,3.0,0.0,10.0,,,,,,,,,veresda01,605,605,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,605,0,6.0,0.2962962962962963,0.2857142857142857,0.582010582010582
14177,18840.0,whitega01,Gabe,White,L,L,1994-05-27,2005.0,472.0,38.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,26.0,0.0,0.0,10.0,0.0,11.0,,,,,,,,,whitega01,472,472,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,472,0,3.0,0.18421052631578946,0.1282051282051282,0.3124156545209177
14178,18860.0,whiteri01,Rick,White,R,R,1994-04-06,2007.0,615.0,43.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,1.0,2.0,0.0,12.0,,,,,,,,,whiteri01,615,613,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,615,0,3.0,0.11627906976744186,0.11363636363636363,0.2299154334038055
14182,97.0,adamste01,Terry,Adams,R,R,1995-08-10,2005.0,574.0,78.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,7.0,41.0,0.0,0.0,12.0,1.0,11.0,,,,,,,,,adamste01,574,574,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,574,0,3.0,0.0641025641025641,0.12790697674418605,0.19200954084675015
14185,191.0,alfoned01,Edgardo,Alfonzo,R,R,1995-04-26,2006.0,1506.0,5385.0,777.0,1532.0,282.0,18.0,146.0,744.0,53.0,596.0,617.0,22.0,41.0,31.0,55.0,12.0,,,,1.0,,,,1.0,alfoned01,1506,0,0,2,549,889,34,0,0,0,0,3.0,0,0,0,0,0,0,1506,0,1086.0,0.42488393686165277,0.3569195326641435,0.7818034695257963
14189,553.0,aurilri01,Rich,Aurilia,R,R,1995-09-06,2009.0,1652.0,5721.0,745.0,1576.0,301.0,22.0,186.0,756.0,23.0,450.0,861.0,22.0,24.0,36.0,47.0,15.0,,,,1.0,,,,1.0,aurilri01,1652,0,0,207,106,197,1095,0,0,0,0,5.0,0,0,0,0,0,0,1652,0,1067.0,0.43331585387170074,0.3284203780839475,0.7617362319556482
14192,704.0,baldwja01,James,Baldwin,R,R,1995-04-30,2005.0,266.0,44.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,3.0,0.0,11.0,,,,1.0,,,,,baldwja01,266,266,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,266,0,2.0,0.1590909090909091,0.09090909090909091,0.25
14199,1128.0,bellda01,David,Bell,R,R,1995-05-03,2006.0,1403.0,4826.0,587.0,1239.0,267.0,18.0,123.0,589.0,19.0,428.0,687.0,25.0,44.0,32.0,50.0,12.0,,,,,,,,,bellda01,1403,0,0,16,413,986,20,1,0,0,1,1.0,0,0,0,0,0,0,1403,0,831.0,0.39598010774968917,0.3199326851159312,0.7159127928656204
14204,1196.0,bennega01,Gary,Bennett,R,R,1995-09-24,2008.0,587.0,1690.0,141.0,408.0,74.0,3.0,22.0,192.0,6.0,139.0,270.0,19.0,16.0,14.0,17.0,13.0,,,,,,,,,bennega01,587,0,558,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,587,0,309.0,0.32781065088757394,0.3023630504833512,0.6301737013709252
14209,1553.0,boehrbr01,Brian,Boehringer,B,R,1995-04-30,2004.0,356.0,31.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,16.0,0.0,0.0,3.0,0.0,10.0,,,,,,,,,boehrbr01,356,356,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,356,0,1.0,0.0967741935483871,0.14705882352941177,0.24383301707779886
14210,1674.0,borowjo01,Joe,Borowski,R,R,1995-07-09,2008.0,423.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,12.0,,,,,,,,,borowjo01,423,423,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,423,0,2.0,0.2222222222222222,0.2222222222222222,0.4444444444444444
14219,2449.0,byrdpa01,Paul,Byrd,R,R,1995-07-28,2009.0,346.0,156.0,11.0,24.0,0.0,0.0,0.0,10.0,0.0,12.0,39.0,0.0,2.0,27.0,0.0,14.0,,,,1.0,,,,,byrdpa01,346,345,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,346,0,24.0,0.15384615384615385,0.2235294117647059,0.3773755656108597
14221,2546.0,camermi01,Mike,Cameron,R,R,1995-08-27,2011.0,1955.0,6839.0,1064.0,1700.0,383.0,59.0,278.0,968.0,297.0,867.0,1901.0,19.0,87.0,31.0,60.0,17.0,,,,1.0,3.0,,,,camermi01,1955,0,0,0,0,0,0,6,1787,164,1921,11.0,0,0,0,0,0,0,1829,126,980.0,0.44377833016522883,0.3379600152807844,0.7817383454460132
14223,2716.0,carragi01,Giovanni,Carrara,R,R,1995-07-29,2006.0,313.0,31.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,4.0,0.0,10.0,,,,,,,,,carragi01,313,313,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,313,0,3.0,0.0967741935483871,0.125,0.2217741935483871
14224,2816.0,castial01,Alberto,Castillo,R,R,1995-05-28,2007.0,418.0,1026.0,98.0,226.0,39.0,2.0,12.0,101.0,3.0,103.0,219.0,1.0,7.0,26.0,11.0,12.0,,,,,,,,,castial01,418,0,409,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,418,0,173.0,0.297270955165692,0.29293809938971227,0.5902090545554043
14225,2858.0,castrju01,Juan,Castro,R,R,1995-09-02,2011.0,1103.0,2627.0,253.0,601.0,123.0,13.0,36.0,234.0,5.0,149.0,472.0,8.0,1.0,51.0,21.0,17.0,,,,,,,,,castrju01,1103,0,0,7,252,264,571,3,0,0,3,1.0,0,0,0,0,0,0,1041,62,429.0,0.32660829843928435,0.2684060042887777,0.5950143027280621
14226,2898.0,cedenro01,Roger,Cedeno,B,R,1995-06-20,2005.0,1100.0,3174.0,478.0,865.0,127.0,32.0,40.0,274.0,213.0,319.0,613.0,14.0,13.0,33.0,18.0,11.0,,,,,,,,,cedenro01,1100,0,0,0,1,0,0,294,281,378,921,8.0,0,0,0,0,0,0,1100,0,666.0,0.3705103969754253,0.3396708286038593,0.7101812255792845
14227,3061.0,chrisja01,Jason,Christiansen,R,L,1995-04-26,2005.0,529.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,11.0,,,,,,,,,chrisja01,529,529,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,529,0,1.0,0.1,0.1,0.2
14228,3187.0,clarkto02,Tony,Clark,B,R,1995-09-03,2009.0,1559.0,4532.0,629.0,1188.0,233.0,11.0,251.0,824.0,6.0,527.0,1209.0,55.0,21.0,0.0,40.0,15.0,,,,1.0,,,,,clarkto02,1559,0,0,1211,0,0,0,1,0,0,1,101.0,0,0,0,0,0,0,1559,0,693.0,0.48455428067078554,0.3390625,0.8236167806707855
14234,3660.0,counscr01,Craig,Counsell,L,R,1995-09-17,2011.0,1624.0,4741.0,647.0,1208.0,218.0,40.0,42.0,390.0,103.0,589.0,663.0,35.0,54.0,57.0,35.0,16.0,,,,,,,,,counscr01,1624,0,0,4,574,385,478,1,0,0,1,0.0,0,0,0,0,0,0,1415,209,908.0,0.344231174857625,0.34157593651965307,0.6858071113772781
14238,4024.0,damonjo01,Johnny,Damon,L,L,1995-08-12,2012.0,2490.0,9736.0,1668.0,2769.0,522.0,109.0,235.0,1139.0,408.0,1003.0,1257.0,38.0,50.0,57.0,71.0,18.0,,,,2.0,,,,,damonjo01,2490,0,0,8,0,0,0,684,1298,147,2067,372.0,0,0,0,0,0,0,2131,359,1903.0,0.4328266228430567,0.3519337016574586,0.7847603245005152
14245,4889.0,durhara01,Ray,Durham,B,R,1995-04-26,2008.0,1975.0,7408.0,1249.0,2054.0,440.0,79.0,192.0,875.0,273.0,820.0,1201.0,34.0,72.0,55.0,68.0,14.0,,,,2.0,,,,,durhara01,1975,0,0,0,1843,0,0,0,1,0,1,54.0,0,0,0,0,0,0,1975,0,1343.0,0.4357451403887689,0.3520554493307839,0.7878005897195528
14251,5214.0,estessh01,Shawn,Estes,R,L,1995-09-16,2008.0,311.0,498.0,50.0,79.0,15.0,2.0,4.0,28.0,1.0,15.0,166.0,0.0,3.0,78.0,2.0,13.0,,,,1.0,,,,,estessh01,311,283,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,311,0,58.0,0.22088353413654618,0.18725868725868725,0.40814222139523343
14255,5717.0,fordybr01,Brook,Fordyce,R,R,1995-04-26,2004.0,623.0,1807.0,172.0,467.0,103.0,4.0,41.0,188.0,8.0,119.0,295.0,6.0,17.0,19.0,11.0,10.0,,,,,,,,,fordybr01,623,0,591,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,623,0,319.0,0.3879358052019923,0.3085977482088025,0.6965335534107948
14258,6111.0,garcika01,Karim,Garcia,L,L,1995-09-02,2004.0,488.0,1463.0,180.0,352.0,44.0,13.0,66.0,212.0,10.0,81.0,330.0,6.0,2.0,0.0,14.0,10.0,,,,,,,,,garcika01,488,0,0,3,0,0,0,72,36,341,424,14.0,0,0,0,0,0,0,488,0,229.0,0.42378673957621327,0.27884615384615385,0.7026328934223671
14259,6312.0,giambja01,Jason,Giambi,L,R,1995-05-08,2014.0,2260.0,7267.0,1227.0,2010.0,405.0,9.0,440.0,1441.0,20.0,1366.0,1572.0,97.0,180.0,2.0,93.0,20.0,,,1.0,5.0,,,,2.0,giambja01,2260,0,0,1307,0,70,0,112,0,1,113,595.0,0,0,0,0,0,0,1952,308,1156.0,0.5164441998073482,0.39928138333707613,0.9157255831444244
14261,6370.0,gilesbr02,Brian,Giles,L,L,1995-09-16,2009.0,1847.0,6527.0,1121.0,1897.0,411.0,55.0,287.0,1078.0,109.0,1183.0,835.0,114.0,51.0,4.0,70.0,15.0,,,,2.0,,,,,gilesbr02,1847,0,0,0,0,0,0,646,303,885,1766,40.0,0,0,0,0,0,0,1847,0,1144.0,0.5023747510341657,0.3998212233431235,0.9021959743772892
14267,6944.0,grudzma01,Mark,Grudzielanek,R,R,1995-04-28,2010.0,1802.0,7052.0,946.0,2040.0,391.0,36.0,90.0,640.0,133.0,364.0,954.0,24.0,105.0,40.0,42.0,15.0,,,,1.0,1.0,,,,grudzma01,1802,0,0,0,1135,31,626,0,0,0,0,2.0,0,0,0,0,0,0,1772,30,1523.0,0.39322178105501987,0.33174666137776015,0.72496844243278
14273,7472.0,hattesc01,Scott,Hatteberg,L,R,1995-09-08,2008.0,1314.0,4226.0,538.0,1153.0,249.0,7.0,106.0,527.0,3.0,562.0,503.0,27.0,42.0,15.0,31.0,14.0,,,,,,,,,hattesc01,1314,0,369,663,0,1,0,0,0,0,0,174.0,0,0,0,0,0,0,1314,0,791.0,0.4103170847136772,0.3614482616745526,0.7717653463882298
14274,7494.0,hawkila01,LaTroy,Hawkins,R,R,1995-04-29,2015.0,1042.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,21.0,,,,,,,,,hawkila01,1042,1042,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,753,289,0.0,0.0,0.0,0.0
14275,7519.0,hayneji01,Jimmy,Haynes,R,R,1995-09-13,2004.0,230.0,213.0,16.0,32.0,9.0,0.0,0.0,13.0,0.0,5.0,71.0,0.0,0.0,28.0,0.0,10.0,,,,,,,,,hayneji01,230,227,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,230,0,23.0,0.19248826291079812,0.16972477064220184,0.36221303355299994
14277,7723.0,hermadu01,Dustin,Hermanson,R,R,1995-05-08,2006.0,358.0,322.0,14.0,30.0,5.0,0.0,2.0,10.0,0.0,20.0,161.0,0.0,2.0,40.0,0.0,12.0,,,,,,,,,hermadu01,358,357,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,358,0,23.0,0.12732919254658384,0.1511627906976744,0.2784919832442583
14279,7873.0,higgibo02,Bobby,Higginson,L,R,1995-04-26,2005.0,1362.0,4910.0,736.0,1336.0,270.0,33.0,187.0,709.0,91.0,649.0,796.0,36.0,37.0,12.0,52.0,11.0,,,,,,,,,higgibo02,1362,0,0,0,0,0,0,655,22,642,1273,62.0,0,0,0,0,0,0,1362,0,846.0,0.45478615071283096,0.3580028328611898,0.8127889835740207
14280,8079.0,hollato01,Todd,Hollandsworth,L,L,1995-04-25,2006.0,1118.0,3191.0,451.0,871.0,192.0,22.0,98.0,401.0,75.0,262.0,701.0,24.0,9.0,14.0,16.0,12.0,,,,,,1.0,,,hollato01,1118,0,0,18,0,0,0,644,220,152,948,5.0,0,0,0,0,0,0,1118,0,559.0,0.439047320589157,0.3283496262219667,0.7673969468111237
14287,8509.0,isrinja01,Jason,Isringhausen,R,R,1995-07-17,2012.0,724.0,104.0,11.0,21.0,4.0,1.0,2.0,16.0,0.0,5.0,36.0,0.0,1.0,8.0,2.0,16.0,,,,2.0,,,,,isrinja01,724,724,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,621,103,14.0,0.3173076923076923,0.24107142857142858,0.5583791208791209
14289,8682.0,jeterde01,Derek,Jeter,R,R,1995-05-29,2014.0,2747.0,11195.0,1923.0,3465.0,544.0,66.0,260.0,1311.0,358.0,1082.0,1840.0,39.0,170.0,97.0,58.0,20.0,,,,14.0,5.0,1.0,1.0,5.0,jeterde01,2747,0,0,0,0,0,2674,0,0,0,0,73.0,0,0,0,0,0,0,2138,609,2595.0,0.4395712371594462,0.3772091163534586,0.8167803535129048
14302,9968.0,lawtoma02,Matt,Lawton,L,R,1995-09-05,2006.0,1334.0,4763.0,756.0,1273.0,267.0,17.0,138.0,631.0,165.0,681.0,613.0,34.0,94.0,2.0,30.0,12.0,,,,2.0,,,,,lawtoma02,1334,0,0,0,0,0,0,385,115,794,1244,53.0,0,0,0,0,0,0,1334,0,851.0,0.4173840016796137,0.367816091954023,0.7852000936336367
14305,10337.0,loaizes01,Esteban,Loaiza,R,R,1995-04-29,2008.0,379.0,271.0,16.0,46.0,4.0,1.0,0.0,18.0,0.0,3.0,69.0,0.0,0.0,36.0,1.0,14.0,,,,2.0,,,,,loaizes01,379,377,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,379,0,41.0,0.1918819188191882,0.1781818181818182,0.37006373700100637
14307,10463.0,loretma01,Mark,Loretta,R,R,1995-09-04,2009.0,1726.0,5812.0,768.0,1713.0,309.0,22.0,76.0,629.0,47.0,555.0,605.0,20.0,71.0,56.0,64.0,15.0,,,,2.0,,,,1.0,loretma01,1726,2,0,214,829,234,405,1,0,0,1,19.0,0,0,0,0,0,0,1726,0,1306.0,0.3947006194081211,0.3597354660104583,0.7544360854185794
14308,10757.0,mahayro01,Ron,Mahay,L,L,1995-05-21,2010.0,520.0,28.0,3.0,6.0,3.0,0.0,1.0,3.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,15.0,,,,,,,,,mahayro01,520,514,0,0,0,0,0,0,5,0,5,1.0,0,0,0,0,0,0,479,41,2.0,0.42857142857142855,0.26666666666666666,0.6952380952380952
14309,10886.0,mantema01,Matt,Mantei,R,R,1995-06-18,2005.0,315.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,mantema01,315,315,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,315,0,1.0,0.2,0.2,0.4
14317,11378.0,mccraqu01,Quinton,McCracken,B,R,1995-09-17,2006.0,999.0,2462.0,359.0,675.0,118.0,32.0,21.0,244.0,89.0,229.0,445.0,11.0,9.0,59.0,20.0,12.0,,,,,,,,,mccraqu01,999,0,0,0,0,0,0,173,452,123,711,16.0,0,0,0,0,0,0,999,0,504.0,0.3736799350121852,0.3356617647058823,0.7093416997180675
14319,11719.0,mecirji01,Jim,Mecir,B,R,1995-09-04,2005.0,474.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,mecirji01,474,474,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,474,0,0.0,0.0,0.0,0.0
14328,12662.0,myersmi01,Mike,Myers,L,L,1995-04-25,2007.0,883.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,myersmi01,883,883,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,883,0,0.0,0.0,0.0,0.0
14329,12806.0,nevinph01,Phil,Nevin,R,R,1995-06-11,2006.0,1217.0,4188.0,584.0,1131.0,209.0,6.0,208.0,743.0,18.0,449.0,1019.0,30.0,30.0,3.0,33.0,12.0,,,,1.0,,,,,nevinph01,1217,0,109,349,0,483,0,89,0,40,128,119.0,0,0,0,0,0,0,1217,0,708.0,0.47182425978987586,0.3425531914893617,0.8143774512792376
